,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
hsa-miR-215-5p,1756.385416,-1.687471235,0.215293631,-7.837998851,4.58E-15,3.17E-12
hsa-miR-200c-3p,31.52472246,-1.240528417,0.180317979,-6.879671246,6.00E-12,2.08E-09
hsa-miR-141-3p,24.73291433,-1.329918361,0.214121771,-6.211037541,5.26E-10,1.21E-07
hsa-miR-4446-3p,34.38128496,0.735702377,0.133522806,5.509937946,3.59E-08,6.21E-06
hsa-miR-429,15.36552275,-1.310809113,0.239613423,-5.470516207,4.49E-08,6.21E-06
hsa-miR-150-5p,27.6315418,0.797642165,0.149022025,5.352511932,8.67E-08,1.00E-05
hsa-miR-122b-5p,13.5191613,-1.40891929,0.27059594,-5.206727382,1.92E-07,1.90E-05
hsa-miR-744-5p,340.9257692,0.519451608,0.100649245,5.161008489,2.46E-07,1.92E-05
hsa-miR-503-5p,52.34741451,-0.500101816,0.097073755,-5.151771594,2.58E-07,1.92E-05
hsa-miR-320c,560.9253344,-0.684556667,0.133550415,-5.125829567,2.96E-07,1.92E-05
hsa-miR-130b-3p,13.57009371,-0.795114118,0.155296586,-5.119971656,3.06E-07,1.92E-05
hsa-miR-125a-5p,512.8227317,0.60488753,0.119048614,5.081012772,3.75E-07,2.16E-05
hsa-miR-651-5p,38.44408916,-0.643460232,0.1311507,-4.906266074,9.28E-07,4.94E-05
hsa-miR-4510,5.163308587,0.790283618,0.162122865,4.874596907,1.09E-06,5.39E-05
hsa-miR-501-3p,285.8243587,-0.391698087,0.080663342,-4.855961525,1.20E-06,5.53E-05
hsa-miR-200b-3p,46.51689505,-0.939487127,0.194512517,-4.829957182,1.37E-06,5.91E-05
hsa-miR-941,88.75187317,0.643131492,0.134299197,4.788796249,1.68E-06,6.83E-05
hsa-miR-10b-3p,15.41950336,-0.901990253,0.19056742,-4.733181851,2.21E-06,8.42E-05
hsa-miR-6134,5.400264526,0.693317945,0.146759612,4.724174018,2.31E-06,8.42E-05
hsa-miR-452-5p,14.72761233,-1.024472193,0.218840396,-4.681366935,2.85E-06,9.79E-05
hsa-miR-200a-3p,344.2138392,-0.896519661,0.191855648,-4.672886475,2.97E-06,9.79E-05
hsa-miR-30e-3p,214.8875018,0.61400764,0.132398164,4.637584234,3.53E-06,0.000107004
hsa-miR-200b-5p,8.437803266,-1.066149027,0.22998425,-4.635748,3.56E-06,0.000107004
hsa-miR-328-3p,248.5908784,0.403872021,0.09002796,4.486073226,7.25E-06,0.00020918
hsa-let-7c-5p,680.645518,0.394030588,0.090543511,4.351836849,1.35E-05,0.000373685
hsa-let-7a-5p,5771.073719,0.339656059,0.078833869,4.308504261,1.64E-05,0.000437457
hsa-miR-335-5p,41.42896495,-0.421271935,0.098383357,-4.281943088,1.85E-05,0.000474836
hsa-let-7d-5p,468.5722058,0.306990298,0.073300906,4.18808326,2.81E-05,0.000695263
